,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
"delta[4,2]",0.549772,0.00167327,0.0939537,0.0792146,0.365907,0.563555,0.678828,4082.01,2693.96,275.979,1.00179
"delta[4,3]",0.450228,0.00167327,0.0939537,0.0792146,0.321172,0.436445,0.634093,4082.01,2693.96,275.979,1.00179
"delta[4,4]",0.450228,0.00167327,0.0939537,0.0792146,0.321172,0.436445,0.634093,4082.01,2693.96,275.979,1.00179
"delta[5,1]",0.703933,0.0012425,0.0743648,0.0649582,0.562978,0.71442,0.804681,4379.42,3445.32,296.086,1.00117
"delta[5,2]",0.84584,0.000569059,0.0436776,0.0408078,0.766991,0.851065,0.906926,6518.55,4801.69,440.71,1.00058
"delta[5,3]",0.640285,0.00109719,0.0704669,0.0658419,0.532404,0.63658,0.764291,4574.55,3084.29,309.279,1.00085
"delta[5,4]",0.809943,0.000767517,0.0545473,0.0538554,0.717235,0.81139,0.898973,4931.46,3865.25,333.41,1.0013
"delta[6,1]",0.703933,0.0012425,0.0743648,0.0649582,0.562978,0.71442,0.804681,4379.42,3445.32,296.086,1.00117
"delta[6,2]",0.84584,0.000569059,0.0436776,0.0408078,0.766991,0.851065,0.906926,6518.55,4801.69,440.71,1.00058
"delta[6,3]",0.640285,0.00109719,0.0704669,0.0658419,0.532404,0.63658,0.764291,4574.55,3084.29,309.279,1.00085
"delta[6,4]",0.809943,0.000767517,0.0545473,0.0538554,0.717235,0.81139,0.898973,4931.46,3865.25,333.41,1.0013
"delta[7,1]",0.344218,0.00074006,0.0735808,0.073483,0.226684,0.342174,0.469171,9964.56,5931.5,673.69,1.00018
"delta[7,2]",0.655782,0.00074006,0.0735808,0.073483,0.530829,0.657826,0.773316,9964.56,5931.5,673.69,1.00018
"delta[7,3]",0.344218,0.00074006,0.0735808,0.073483,0.226684,0.342174,0.469171,9964.56,5931.5,673.69,1.00018
"delta[7,4]",0.655782,0.00074006,0.0735808,0.073483,0.530829,0.657826,0.773316,9964.56,5931.5,673.69,1.00018
"delta[8,1]",0.344218,0.00074006,0.0735808,0.073483,0.226684,0.342174,0.469171,9964.56,5931.5,673.69,1.00018
"delta[8,2]",0.655782,0.00074006,0.0735808,0.073483,0.530829,0.657826,0.773316,9964.56,5931.5,673.69,1.00018
"delta[8,3]",0.344218,0.00074006,0.0735808,0.073483,0.226684,0.342174,0.469171,9964.56,5931.5,673.69,1.00018
"delta[8,4]",0.655782,0.00074006,0.0735808,0.073483,0.530829,0.657826,0.773316,9964.56,5931.5,673.69,1.00018
"delta[9,1]",0.344218,0.00074006,0.0735808,0.073483,0.226684,0.342174,0.469171,9964.56,5931.5,673.69,1.00018
"delta[9,2]",0.655782,0.00074006,0.0735808,0.073483,0.530829,0.657826,0.773316,9964.56,5931.5,673.69,1.00018
"delta[9,3]",0.344218,0.00074006,0.0735808,0.073483,0.226684,0.342174,0.469171,9964.56,5931.5,673.69,1.00018
"delta[9,4]",0.655782,0.00074006,0.0735808,0.073483,0.530829,0.657826,0.773316,9964.56,5931.5,673.69,1.00018
"delta[10,1]",0.344218,0.00074006,0.0735808,0.073483,0.226684,0.342174,0.469171,9964.56,5931.5,673.69,1.00018
"delta[10,2]",0.655782,0.00074006,0.0735808,0.073483,0.530829,0.657826,0.773316,9964.56,5931.5,673.69,1.00018
"delta[10,3]",0.344218,0.00074006,0.0735808,0.073483,0.226684,0.342174,0.469171,9964.56,5931.5,673.69,1.00018
"delta[10,4]",0.655782,0.00074006,0.0735808,0.073483,0.530829,0.657826,0.773316,9964.56,5931.5,673.69,1.00018
"pi[1,1]",0.29902,0.00114045,0.0854576,0.0869567,0.157643,0.299617,0.441682,5580.87,4503.93,377.315,1.00143
"pi[1,2]",0.29902,0.00114045,0.0854576,0.0869567,0.157643,0.299617,0.441682,5580.87,4503.93,377.315,1.00143
"pi[1,3]",0.24207,0.00101522,0.0713201,0.0654354,0.139973,0.234854,0.368438,5847.08,3990.73,395.313,1.00059
"pi[1,4]",0.24207,0.00101522,0.0713201,0.0654354,0.139973,0.234854,0.368438,5847.08,3990.73,395.313,1.00059
"pi[2,1]",0.364562,0.00120859,0.0881988,0.0891152,0.216136,0.366865,0.510031,5395.59,4889.7,364.789,1.00061
